trade_id,entry_time,direction,setup,r,node72,node48
2024-03-27 13:45:00+00:00|SHORT|TBX0 (a) or TBX1|3575.0627|86.4,2024-03-27 13:45:00+00:00,SHORT,TBX0 (a) or TBX1,-0.07,False,False
2024-03-28 02:30:00+00:00|SHORT|TBX0 (a) or TBX1|3479.6022|51.17,2024-03-28 02:30:00+00:00,SHORT,TBX0 (a) or TBX1,-0.27,False,False
2024-03-29 17:00:00+00:00|SHORT|TBX7B|3488.28|24.43,2024-03-29 17:00:00+00:00,SHORT,TBX7B,-0.81,False,False
2024-04-02 22:00:00+00:00|LONG|TBX0|3300.02|46.19,2024-04-02 22:00:00+00:00,LONG,TBX0,-0.89,False,False
2024-04-03 14:00:00+00:00|LONG|TBX0|3342.572|43.16,2024-04-03 14:00:00+00:00,LONG,TBX0,-0.16,False,False
2024-04-05 04:00:00+00:00|SHORT|TBX7A|3298.4|9.0,2024-04-05 04:00:00+00:00,SHORT,TBX7A,-1.0,False,False
2024-04-08 13:00:00+00:00|SHORT|TBX0|3630.81|60.52,2024-04-08 13:00:00+00:00,SHORT,TBX0,-0.29,False,False
2024-04-11 12:30:00+00:00|LONG|TBX7B|3573.5199|50.7,2024-04-11 12:30:00+00:00,LONG,TBX7B,-0.17,False,False
2024-04-12 00:30:00+00:00|LONG|TBX7B|3526.6873|23.5,2024-04-12 00:30:00+00:00,LONG,TBX7B,-0.41,False,False
2024-04-12 16:00:00+00:00|SHORT|TBX7B|3425.56|23.24,2024-04-12 16:00:00+00:00,SHORT,TBX7B,8.8,False,False
2024-04-17 14:00:00+00:00|SHORT|TBX7A|3011.0922|46.49,2024-04-17 14:00:00+00:00,SHORT,TBX7A,-0.29,False,False
2024-04-17 19:30:00+00:00|SHORT|TBX7A|2982.8105|53.97,2024-04-17 19:30:00+00:00,SHORT,TBX7A,-0.52,False,False
2024-04-18 05:45:00+00:00|SHORT|TBX7A|2989.6864|40.1,2024-04-18 05:45:00+00:00,SHORT,TBX7A,-0.23,False,False
2024-04-18 18:00:00+00:00|LONG|TBX0 (a)|3050.38|36.47,2024-04-18 18:00:00+00:00,LONG,TBX0 (a),-0.02,False,False
2024-04-24 13:00:00+00:00|SHORT|TBX0|3246.68|27.49,2024-04-24 13:00:00+00:00,SHORT,TBX0,3.33,False,False
2024-04-25 15:00:00+00:00|LONG|TBX0|3158.83|50.3,2024-04-25 15:00:00+00:00,LONG,TBX0,-0.17,False,False
2024-04-26 01:45:00+00:00|LONG|TBX0|3158.2657|24.29,2024-04-26 01:45:00+00:00,LONG,TBX0,-0.97,False,False
2024-04-26 12:30:00+00:00|LONG|TBX0|3148.0479|29.71,2024-04-26 12:30:00+00:00,LONG,TBX0,-0.29,False,False
2024-04-30 01:45:00+00:00|SHORT|TBX0 (a)|3180.182|59.83,2024-04-30 01:45:00+00:00,SHORT,TBX0 (a),2.61,False,False
2024-05-01 02:00:00+00:00|SHORT|TBX0 (a)|2977.0324|32.16,2024-05-01 02:00:00+00:00,SHORT,TBX0 (a),-0.26,False,False
2024-05-01 06:15:00+00:00|SHORT|TBX0 (a)|2969.9|49.43,2024-05-01 06:15:00+00:00,SHORT,TBX0 (a),0.07,False,False
2024-05-01 13:30:00+00:00|SHORT|TBX0 (a)|2880.5163|46.69,2024-05-01 13:30:00+00:00,SHORT,TBX0 (a),-0.28,False,False
2024-05-02 08:15:00+00:00|LONG|TBX4|2940.37|40.67,2024-05-02 08:15:00+00:00,LONG,TBX4,0.48,False,False
2024-05-06 01:30:00+00:00|SHORT|TBX0 (a) or TBX1|3135.67|20.82,2024-05-06 01:30:00+00:00,SHORT,TBX0 (a) or TBX1,-0.54,False,False
2024-05-06 10:30:00+00:00|SHORT|TBX0 (a) or TBX1|3155.0876|59.25,2024-05-06 10:30:00+00:00,SHORT,TBX0 (a) or TBX1,1.29,False,False
2024-05-07 03:15:00+00:00|SHORT|TBX0 (a) or TBX1|3068.9986|25.88,2024-05-07 03:15:00+00:00,SHORT,TBX0 (a) or TBX1,-0.43,False,False
2024-05-09 15:00:00+00:00|LONG|TBX0|2992.1652|28.34,2024-05-09 15:00:00+00:00,LONG,TBX0,1.2,False,False
2024-05-10 13:00:00+00:00|SHORT|TBX0|3019.64|13.2,2024-05-10 13:00:00+00:00,SHORT,TBX0,8.67,False,False
2024-05-12 10:00:00+00:00|LONG|TBX0 (a) or TBX1|2919.0768|15.59,2024-05-12 10:00:00+00:00,LONG,TBX0 (a) or TBX1,-0.17,False,False
2024-05-13 00:15:00+00:00|LONG|TBX0 (a) or TBX1|2937.7684|17.01,2024-05-13 00:15:00+00:00,LONG,TBX0 (a) or TBX1,-0.78,False,False
2024-05-13 09:00:00+00:00|LONG|TBX7B|2984.67|23.49,2024-05-13 09:00:00+00:00,LONG,TBX7B,-0.97,False,False
2024-05-13 16:45:00+00:00|LONG|TBX7B|2975.06|30.26,2024-05-13 16:45:00+00:00,LONG,TBX7B,-1.0,False,False
2024-05-13 23:15:00+00:00|LONG|TBX7B|2951.6146|13.4,2024-05-13 23:15:00+00:00,LONG,TBX7B,-1.23,False,False
2024-05-14 14:00:00+00:00|SHORT|TBX7A|2893.31|9.0,2024-05-14 14:00:00+00:00,SHORT,TBX7A,-0.49,False,False
2024-05-14 23:15:00+00:00|SHORT|TBX7A|2880.2251|14.45,2024-05-14 23:15:00+00:00,SHORT,TBX7A,-0.23,False,False
2024-05-15 11:30:00+00:00|SHORT|TBX7A|2889.7307|35.67,2024-05-15 11:30:00+00:00,SHORT,TBX7A,-0.35,False,False
2024-05-15 14:00:00+00:00|LONG|TBX7B|2975.18|36.26,2024-05-15 14:00:00+00:00,LONG,TBX7B,1.08,True,False
2024-05-16 08:00:00+00:00|LONG|TBX7B|3026.3128|20.68,2024-05-16 08:00:00+00:00,LONG,TBX7B,-0.29,False,False
2024-05-17 01:15:00+00:00|SHORT|TBX0 (a)|2933.8327|19.88,2024-05-17 01:15:00+00:00,SHORT,TBX0 (a),-0.29,False,False
2024-05-17 06:15:00+00:00|SHORT|TBX0 (a)|2939.4207|10.26,2024-05-17 06:15:00+00:00,SHORT,TBX0 (a),-0.67,False,False
2024-05-17 10:00:00+00:00|LONG|TBX7B|3035.44|27.44,2024-05-17 10:00:00+00:00,LONG,TBX7B,2.07,False,False
2024-05-20 06:45:00+00:00|SHORT|TBX7B|3088.0851|45.58,2024-05-20 06:45:00+00:00,SHORT,TBX7B,-0.17,False,False
2024-05-20 16:00:00+00:00|LONG|TBX7A|3133.79|11.22,2024-05-20 16:00:00+00:00,LONG,TBX7A,50.35,False,False
2024-05-26 03:45:00+00:00|LONG|TBX0|3762.1735|27.32,2024-05-26 03:45:00+00:00,LONG,TBX0,0.72,False,False
