trade_id,entry_time,timeframe,arm_r,close_threshold_r,r,action_r,delta_r,tail_gt5
2023-09-04 14:45:00+00:00|SHORT|TBX7A|1629.1174|5.0,2023-09-04 14:45:00+00:00,15M,1.0,0.25,-0.74,0.2254712999095318,0.9654712999095318,False
2023-10-27 14:15:00+00:00|SHORT|TBX7B|1778.028|16.99,2023-10-27 14:15:00+00:00,15M,1.0,0.25,-0.1,0.20117508346559496,0.30117508346559496,False
2024-01-14 22:30:00+00:00|SHORT|TBX0|2506.407|22.7,2024-01-14 22:30:00+00:00,15M,1.0,0.25,-0.13,0.15361234840011373,0.28361234840011373,False
2024-01-16 08:15:00+00:00|LONG|TBX0 (a) or TBX1|2534.9877|10.66,2024-01-16 08:15:00+00:00,15M,1.0,0.25,-0.81,-0.29996885049292393,0.5100311495070762,False
2024-02-12 08:45:00+00:00|SHORT|TBX0 (a) or TBX1|2490.6304|11.42,2024-02-12 08:45:00+00:00,15M,1.0,0.25,0.01,0.19180508252108447,0.18180508252108446,False
2024-05-12 10:00:00+00:00|LONG|TBX0 (a) or TBX1|2919.0768|15.59,2024-05-12 10:00:00+00:00,15M,1.0,0.25,-0.17,0.21701083223013343,0.38701083223013344,False
2024-06-26 01:15:00+00:00|LONG|TBX0 (a)|3402.2841|18.5,2024-06-26 01:15:00+00:00,15M,1.0,0.25,-0.51,0.043023621279251134,0.5530236212792512,False
2024-09-05 19:15:00+00:00|SHORT|TBX7B|2369.2376|21.9,2024-09-05 19:15:00+00:00,15M,1.0,0.25,-0.41,-0.06723472374999316,0.3427652762500068,False
2024-09-30 00:15:00+00:00|SHORT|TBX0|2645.577|19.05,2024-09-30 00:15:00+00:00,15M,1.0,0.25,0.55,-0.10357111778331676,-0.6535711177833168,False
2024-10-18 18:15:00+00:00|LONG|TBX7A|2655.2777|18.1,2024-10-18 18:15:00+00:00,15M,1.0,0.25,-0.61,0.10675558952027522,0.7167555895202752,False
2024-11-22 03:15:00+00:00|LONG|TBX7A|3358.0061|42.34,2024-11-22 03:15:00+00:00,15M,1.0,0.25,0.11,0.16116828191528143,0.05116828191528143,False
2024-12-05 02:30:00+00:00|LONG|TBX0|3843.3606|66.16,2024-12-05 02:30:00+00:00,15M,1.0,0.25,0.91,0.18665959211820443,-0.7233404078817955,False
2024-12-18 12:30:00+00:00|SHORT|TBX0 (a)|3858.3545|28.8,2024-12-18 12:30:00+00:00,15M,1.0,0.25,-0.58,0.03175440700499305,0.6117544070049931,False
2025-12-16 13:30:00+00:00|SHORT|TBX0|2927.2041|39.75,2025-12-16 13:30:00+00:00,15M,1.0,0.25,-0.73,-0.11184584938402062,0.6181541506159793,False
2025-12-24 16:00:00+00:00|LONG|TBX0|2932.6181|21.63,2025-12-24 16:00:00+00:00,15M,1.0,0.25,0.5,0.14988115093326596,-0.3501188490667341,False
2026-04-01 16:15:00+00:00|LONG|TBX7B|2138.237|19.73,2026-04-01 16:15:00+00:00,15M,1.0,0.25,-0.62,0.1283816710390143,0.7483816710390143,False
2026-04-30 02:30:00+00:00|SHORT|TBX7A|2254.7147|19.29,2026-04-30 02:30:00+00:00,15M,1.0,0.25,-0.4,0.1272531913478158,0.5272531913478158,False
2026-05-21 08:00:00+00:00|LONG|TBX7A|2136.3585|10.26,2026-05-21 08:00:00+00:00,15M,1.0,0.25,-0.81,0.01866481196876728,0.8286648119687673,False
2021-02-24 21:00:00+00:00|SHORT|TBX0|1592.3|15.41,2021-02-24 21:00:00+00:00,1H,1.0,0.25,-1.0,0.013627514600910861,1.0136275146009108,False
2021-03-03 08:00:00+00:00|LONG|TBX7B|1592.73|19.39,2021-03-03 08:00:00+00:00,1H,1.0,0.25,0.84,0.10056730273337006,-0.7394326972666299,False
2021-04-02 17:00:00+00:00|SHORT|TBX0|2057.51|9.44,2021-04-02 17:00:00+00:00,1H,1.0,0.25,-0.97,-0.0,0.97,False
2021-05-23 20:00:00+00:00|LONG|TBX0|2063.96|99.42,2021-05-23 20:00:00+00:00,1H,1.0,0.25,4.78,0.21625427479380405,-4.563745725206196,False
2021-10-25 00:00:00+00:00|LONG|TBX7A|4135.86|34.17,2021-10-25 00:00:00+00:00,1H,1.0,0.25,-0.51,0.011706175007332328,0.5217061750073323,False
2021-10-27 09:00:00+00:00|SHORT|TBX7B|4020.0|57.97,2021-10-27 09:00:00+00:00,1H,1.0,0.25,-0.07,-0.08245644298775574,-0.012456442987755736,False
2021-11-12 20:00:00+00:00|LONG|TBX0|4669.99|19.5,2021-11-12 20:00:00+00:00,1H,1.0,0.25,-0.97,-0.05282051282049976,0.9171794871795003,False
2021-11-15 04:00:00+00:00|LONG|TBX0 (a)|4707.84|10.34,2021-11-15 04:00:00+00:00,1H,1.0,0.25,-0.95,0.08897485493230878,1.0389748549323088,False
2022-03-07 18:00:00+00:00|SHORT|TBX7B|2521.46|45.51,2022-03-07 18:00:00+00:00,1H,1.0,0.25,-0.02,0.11118435508679292,0.1311843550867929,False
2022-06-01 03:00:00+00:00|SHORT|TBX0 (a)|1929.73|13.4,2022-06-01 03:00:00+00:00,1H,1.0,0.25,-0.97,0.1910447761193989,1.161044776119399,False
2022-08-29 16:00:00+00:00|LONG|TBX0 (a)|1536.44|20.63,2022-08-29 16:00:00+00:00,1H,1.0,0.25,-0.54,0.11197285506543604,0.6519728550654361,False
2022-10-06 00:00:00+00:00|LONG|TBX7B|1369.67|13.55,2022-10-06 00:00:00+00:00,1H,1.0,0.25,-0.46,0.16605166051660517,0.6260516605166052,False
2022-10-20 16:00:00+00:00|SHORT|TBX7A|1289.86|9.0,2022-10-20 16:00:00+00:00,1H,1.0,0.25,-0.26,0.18333333333331817,0.44333333333331815,False
2022-10-25 20:00:00+00:00|SHORT|TBX0|1473.36|23.13,2022-10-25 20:00:00+00:00,1H,1.0,0.25,-0.39,0.17293558149589278,0.5629355814958927,False
2022-11-28 14:00:00+00:00|SHORT|TBX7B|1165.85|11.89,2022-11-28 14:00:00+00:00,1H,1.0,0.25,-0.27,0.23212783851976374,0.5021278385197637,False
2022-12-01 04:00:00+00:00|SHORT|TBX0|1283.29|7.02,2022-12-01 04:00:00+00:00,1H,1.0,0.25,-0.18,0.09829059829060607,0.2782905982906061,False
2023-02-23 07:00:00+00:00|LONG|TBX0 (a)|1665.67|5.23,2023-02-23 07:00:00+00:00,1H,1.0,0.25,-0.92,0.2313575525812689,1.151357552581269,False
2023-03-09 14:00:00+00:00|LONG|TBX0|1538.83|3.08,2023-03-09 14:00:00+00:00,1H,1.0,0.25,-0.97,0.21103896103899056,1.1810389610389906,False
2023-04-24 06:00:00+00:00|SHORT|TBX7A|1846.81|9.0,2023-04-24 06:00:00+00:00,1H,1.0,0.25,-0.59,0.22777777777777272,0.8177777777777727,False
2023-04-26 00:00:00+00:00|LONG|TBX0 (a)|1866.3|6.45,2023-04-26 00:00:00+00:00,1H,1.0,0.25,-0.97,0.0015503875968978147,0.9715503875968978,False
2023-05-17 17:00:00+00:00|LONG|TBX0|1815.12|19.39,2023-05-17 17:00:00+00:00,1H,1.0,0.25,0.28,0.22692109334709082,-0.05307890665290921,False
2023-09-04 17:00:00+00:00|LONG|TBX0|1629.75|4.26,2023-09-04 17:00:00+00:00,1H,1.0,0.25,-0.94,0.06338028169013658,1.0033802816901365,False
2023-11-10 08:00:00+00:00|SHORT|TBX0|2099.99|13.2,2023-11-10 08:00:00+00:00,1H,1.0,0.25,-0.24,0.1363636363636157,0.3763636363636157,False
2023-12-04 14:00:00+00:00|SHORT|TBX0|2225.61|17.86,2023-12-04 14:00:00+00:00,1H,1.0,0.25,-0.82,-0.04143337066068207,0.7785666293393179,False
2024-01-08 06:00:00+00:00|LONG|TBX0|2212.84|20.4,2024-01-08 06:00:00+00:00,1H,1.0,0.25,5.41,-0.09068627450982177,-5.500686274509822,True
2024-01-09 22:00:00+00:00|LONG|TBX7B|2341.19|28.85,2024-01-09 22:00:00+00:00,1H,1.0,0.25,0.82,0.039514731369146364,-0.7804852686308535,False
2024-01-16 13:00:00+00:00|SHORT|TBX0|2525.57|24.16,2024-01-16 13:00:00+00:00,1H,1.0,0.25,-1.0,-0.3973509933774797,0.6026490066225203,False
2024-01-16 15:00:00+00:00|LONG|TBX7A|2559.43|16.17,2024-01-16 15:00:00+00:00,1H,1.0,0.25,1.08,0.1267779839208523,-0.9532220160791478,False
2024-01-23 22:00:00+00:00|LONG|TBX0|2225.99|26.21,2024-01-23 22:00:00+00:00,1H,1.0,0.25,-0.19,0.15261350629530712,0.3426135062953071,False
2024-01-25 18:00:00+00:00|LONG|TBX0|2210.65|10.38,2024-01-25 18:00:00+00:00,1H,1.0,0.25,0.09,-0.10308285163778069,-0.1930828516377807,False
2024-01-29 20:00:00+00:00|LONG|TBX0 (a)|2302.08|13.38,2024-01-29 20:00:00+00:00,1H,1.0,0.25,0.58,0.20702541106128414,-0.3729745889387158,False
2024-02-04 22:00:00+00:00|SHORT|TBX7A|2287.29|9.0,2024-02-04 22:00:00+00:00,1H,1.0,0.25,-1.0,-0.0,1.0,False
