n,wins,losses,zeros,wr,sum_r,expectancy,median,avg_win,avg_loss,payoff,pf,max_dd,max_loss_streak,best,worst,tail_gt5,tail_r_gt5,label,med_cf_mfe,med_cf_mfe_noret,pct_cf_ge1,pct_cf_ge2,pct_wick,med_beyond_r,med_bars_to_stop
17,17,0,0,100.0,41.32000000000001,2.430588235294118,1.4,2.430588235294118,,,,0.0,0,7.04,0.04,3,17.92,fate=winner_survived_stop_touch|15M,4.96681174209124,4.96681174209124,94.11764705882352,76.47058823529412,100.0,0.07150942425234952,0.0
62,62,0,0,100.0,587.96,9.483225806451614,3.795,9.483225806451614,,,,0.0,0,96.52,0.05,26,528.35,fate=winner_survived_stop_touch|1H,6.006860997648221,4.584783173201765,96.7741935483871,93.54838709677419,37.096774193548384,0.5289989052526582,0.0
78,0,78,0,0.0,-70.47999999999999,-0.9035897435897434,-0.97,,-0.9035897435897434,,0.0,-69.88000000000001,78,-0.2,-2.33,0,0.0,fate=ambiguous_stop|limit_retest,0.5347273171924678,0.17303719008264384,24.358974358974358,16.666666666666664,67.94871794871796,0.16258225207047183,4.0
70,0,70,0,0.0,-56.64000000000001,-0.8091428571428573,-0.925,,-0.8091428571428573,,0.0,-56.42999999999999,70,-0.06,-1.71,0,0.0,fate=ambiguous_stop|market_like,0.5685375236134311,0.4580704839719584,25.71428571428571,15.714285714285714,64.28571428571429,0.1254091517314384,5.0
171,171,0,0,100.0,560.78,3.2794152046783624,1.47,3.2794152046783624,,,,0.0,0,70.0,0.01,28,361.1700000000001,fate=clean_winner|limit_retest,,,,,0.0,0.0,
200,200,0,0,100.0,617.48,3.0874,1.29,3.0874,,,,0.0,0,82.8,0.01,26,373.64,fate=clean_winner|market_like,,,,,0.0,0.0,
2,2,0,0,100.0,5.26,2.63,2.63,2.63,,,,0.0,0,4.26,1.0,0,0.0,fate=clean_winner|unknown,,,,,0.0,0.0,
94,0,94,0,0.0,-83.48,-0.8880851063829788,-0.95,,-0.8880851063829788,,0.0,-82.51000000000002,94,-0.18,-2.0,0,0.0,fate=hopeless|limit_retest,0.7672500948041432,0.9905721716514962,42.5531914893617,24.46808510638298,13.829787234042554,0.723548423614651,1.0
69,0,69,0,0.0,-52.71,-0.7639130434782608,-0.78,,-0.7639130434782608,,0.0,-52.470000000000006,69,-0.14,-1.94,0,0.0,fate=hopeless|market_like,0.3708140012738811,0.39435541019691067,31.88405797101449,26.08695652173913,10.144927536231885,0.694051255713876,4.0
1,0,1,0,0.0,-1.0,-1.0,-1.0,,-1.0,,0.0,0.0,1,-1.0,-1.0,0,0.0,fate=hopeless|unknown,3.0145367758732924,,100.0,100.0,0.0,0.8461705359079992,0.0
